CD_PROGRAMA_IES;NM_REGIAO;SG_UF_PROGRAMA;SG_ENTIDADE_ENSINO;NM_MUNICIPIO_PROGRAMA_IES;NM_AREA_CONHECIMENTO
10001018002P1;NORTE;RO;UNIR;PORTO VELHO;PARASITOLOGIA
10001018004P4;NORTE;RO;UNIR;PORTO VELHO;INTERDISCIPLINAR
10001018005P0;NORTE;RO;UNIR;PORTO VELHO;GEOGRAFIA
10001018006P7;NORTE;RO;UNIR;PORTO VELHO;ADMINISTRAÇÃO
10001018009P6;NORTE;RO;UNIR;PORTO VELHO;PSICOLOGIA
10001018010P4;NORTE;RO;UNIR;PORTO VELHO;LETRAS
10001018011P0;NORTE;RO;UNIR;PORTO VELHO;EDUCAÇÃO
10001018012P7;NORTE;RO;UNIR;PORTO VELHO;LETRAS
10001018013P3;NORTE;RO;UNIR;PORTO VELHO;INTERDISCIPLINAR
10001018015P6;NORTE;RO;UNIR;PORTO VELHO;INTERDISCIPLINAR
10001018016P2;NORTE;RO;UNIR;PORTO VELHO;EDUCAÇÃO
10001018017P9;NORTE;RO;UNIR;ROLIM DE MOURA;CIÊNCIAS AMBIENTAIS
11001011001P8;NORTE;AC;UFAC;RIO BRANCO;ECOLOGIA
11001011003P0;NORTE;AC;UFAC;RIO BRANCO;LETRAS
11001011004P7;NORTE;AC;UFAC;RIO BRANCO;AGRONOMIA
11001011005P3;NORTE;AC;UFAC;RIO BRANCO;SAÚDE COLETIVA
11001011006P0;NORTE;AC;UFAC;RIO BRANCO;INTERDISCIPLINAR
11001011007P6;NORTE;AC;UFAC;RIO BRANCO;ENSINO
11001011008P2;NORTE;AC;UFAC;RIO BRANCO;MEDICINA VETERINÁRIA
11001011009P9;NORTE;AC;UFAC;RIO BRANCO;EDUCAÇÃO
11001011070P0;NORTE;AC;UFAC;RIO BRANCO;MEDICINA
11001011071P6;NORTE;AC;UFAC;RIO BRANCO;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL
12001015001P0;NORTE;AM;UFAM;MANAUS;EDUCAÇÃO
12001015002P7;NORTE;AM;UFAM;MANAUS;QUÍMICA
12001015003P3;NORTE;AM;UFAM;MANAUS;AGRONOMIA
12001015006P2;NORTE;AM;UFAM;MANAUS;FÍSICA
12001015007P9;NORTE;AM;UFAM;MANAUS;CIÊNCIAS AMBIENTAIS
12001015008P5;NORTE;AM;UFAM;MANAUS;GEOCIÊNCIAS
12001015009P1;NORTE;AM;UFAM;MANAUS;ENGENHARIA DE PRODUÇÃO
12001015012P2;NORTE;AM;UFAM;MANAUS;CIÊNCIA DA COMPUTAÇÃO
12001015013P9;NORTE;AM;UFAM;MANAUS;BIOTECNOLOGIA
12001015014P5;NORTE;AM;UFAM;MANAUS;INTERDISCIPLINAR
12001015015P1;NORTE;AM;UFAM;MANAUS;MATEMÁTICA
12001015016P8;NORTE;AM;UFAM;MANAUS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL
12001015018P0;NORTE;AM;UFAM;MANAUS;INTERDISCIPLINAR
12001015021P1;NORTE;AM;UFAM;MANAUS;ENGENHARIA ELÉTRICA
12001015022P8;NORTE;AM;UFAM;MANAUS;ENGENHARIA CIVIL
12001015023P4;NORTE;AM;UFAM;MANAUS;HISTÓRIA
12001015024P0;NORTE;AM;UFAM;MANAUS;SOCIOLOGIA
12001015025P7;NORTE;AM;UFAM;MANAUS;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA
12001015026P3;NORTE;AM;UFAM;MANAUS;GEOGRAFIA
12001015027P0;NORTE;AM;UFAM;MANAUS;SERVIÇO SOCIAL
12001015029P2;NORTE;AM;UFAM;MANAUS;ANTROPOLOGIA
12001015032P3;NORTE;AM;UFAM;MANAUS;COMUNICAÇÃO
12001015033P0;NORTE;AM;UFAM;MANAUS;FARMÁCIA
12001015034P6;NORTE;AM;UFAM;MANAUS;IMUNOLOGIA
12001015035P2;NORTE;AM;UFAM;MANAUS;MATERIAIS
12001015036P9;NORTE;AM;UFAM;MANAUS;PSICOLOGIA
12001015037P5;NORTE;AM;UFAM;MANAUS;LETRAS
12001015038P1;NORTE;AM;UFAM;MANAUS;BIOTECNOLOGIA
12001015039P8;NORTE;AM;UFAM;MANAUS;MEDICINA
12001015040P6;NORTE;AM;UFAM;MANAUS;ODONTOLOGIA
12001015041P2;NORTE;AM;UFAM;ITACOATIARA;CIÊNCIAS AMBIENTAIS
12001015042P9;NORTE;AM;UFAM;MANAUS;ENSINO
12001015063P6;NORTE;AM;UFAM;MANAUS;ZOOLOGIA
12001015064P2;NORTE;AM;UFAM;MANAUS;CIÊNCIAS AMBIENTAIS
12001015065P9;NORTE;AM;UFAM;MANAUS;MEDICINA
12001015066P5;NORTE;AM;UFAM;MANAUS;ZOOTECNIA
12002011001P7;NORTE;AM;INPA;MANAUS;ECOLOGIA
12002011002P3;NORTE;AM;INPA;MANAUS;BOTÂNICA
12002011003P0;NORTE;AM;INPA;MANAUS;ECOLOGIA
12002011004P6;NORTE;AM;INPA;MANAUS;ZOOLOGIA
12002011006P9;NORTE;AM;INPA;MANAUS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL
12002011009P8;NORTE;AM;INPA;MANAUS;GENÉTICA
12002011010P6;NORTE;AM;INPA;MANAUS;AGRONOMIA
12002011011P2;NORTE;AM;INPA;MANAUS;GEOCIÊNCIAS
12002011012P9;NORTE;AM;INPA;MANAUS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL
12003018001P3;NORTE;AM;IFAM;MANAUS;ENSINO
12006017001P2;NORTE;AM;UNINILTON;MANAUS;BIOLOGIA GERAL
12006017002P9;NORTE;AM;UNINILTON;MANAUS;BIOLOGIA GERAL
12006017003P5;NORTE;AM;UNINILTON;MANAUS;ZOOTECNIA
12008010001P9;NORTE;AM;UEA;MANAUS;MEDICINA
12008010002P5;NORTE;AM;UEA;MANAUS;DIREITO
12008010003P1;NORTE;AM;UEA;MANAUS;BIOTECNOLOGIA
12008010005P4;NORTE;AM;UEA;MANAUS;ENSINO
12008010006P0;NORTE;AM;UEA;MANAUS;LETRAS
12008010007P7;NORTE;AM;UEA;MANAUS;INTERDISCIPLINAR
12008010008P3;NORTE;AM;UEA;MANAUS;MEDICINA
12008010039P6;NORTE;AM;UEA;MANAUS;LETRAS
12008010070P0;NORTE;AM;UEA;MANAUS;INTERDISCIPLINAR
13001019001P3;NORTE;RR;UFRR;BOA VISTA;CIÊNCIAS AMBIENTAIS
13001019002P0;NORTE;RR;UFRR;BOA VISTA;FÍSICA
13001019003P6;NORTE;RR;UFRR;BOA VISTA;QUÍMICA
13001019004P2;NORTE;RR;UFRR;BOA VISTA;AGRONOMIA
13001019005P9;NORTE;RR;UFRR;BOA VISTA;LETRAS
13001019006P5;NORTE;RR;UFRR;BOA VISTA;GEOGRAFIA
13001019007P1;NORTE;RR;UFRR;BOA VISTA;INTERDISCIPLINAR
13001019008P8;NORTE;RR;UFRR;BOA VISTA;INTERDISCIPLINAR
13001019009P4;NORTE;RR;UFRR;BOA VISTA;PLANEJAMENTO URBANO E REGIONAL
13001019039P0;NORTE;RR;UFRR;BOA VISTA;ANTROPOLOGIA
13003011001P6;NORTE;RR;UERR;BOA VISTA;ENSINO
13003011002P2;NORTE;RR;UERR;BOA VISTA;CIÊNCIAS AMBIENTAIS
13003011003P9;NORTE;RR;UERR;BOA VISTA;EDUCAÇÃO
13003011004P5;NORTE;RR;UERR;BOA VISTA;INTERDISCIPLINAR
13009001040P4;NORTE;AM;CPQLMD/FIOCRUZ;MANAUS;SAÚDE COLETIVA
13012002001P6;NORTE;AM;CESAR-AM;MANAUS;DESENHO INDUSTRIAL
14001012001P6;NORTE;AP;UNIFAP;MACAPÁ;PLANEJAMENTO URBANO E REGIONAL
14001012003P9;NORTE;AP;UNIFAP;MACAPÁ;ECOLOGIA
14001012004P5;NORTE;AP;UNIFAP;MACAPÁ;INTERDISCIPLINAR
14001012005P1;NORTE;AP;UNIFAP;MACAPÁ;FARMÁCIA
15001016002P5;NORTE;PA;UFPA;BELÉM;INTERDISCIPLINAR
15001016003P1;NORTE;PA;UFPA;BELÉM;DIREITO
