"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"1";"10001018002P1";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";0,533333333333333;0,275862068965517;0,450100761307658;0,615740740740741;0,468759226086812
"2";"10001018004P4";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";0,822222222222222;0,609756097560976;0,475490196078431;0,524652777777778;0,608030323409852
"3";"10001018005P0";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,333333333333333;0,547619047619048;0,544642857142857;0,500980392156863;0,481643907563025
"4";"10001018006P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,666666666666667;0,458333333333333;0,805555555555556;0,43525641025641;0,591452991452991
"5";"10001018009P6";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,433333333333333;0,403846153846154;0,553571428571429;0,425555555555556;0,454076617826618
"6";"10001018010P4";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,466666666666667;0,424657534246575;0,6;0,44047619047619;0,482950097847358
"7";"10001018011P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,636363636363636;0,396825396825397;0,638888888888889;0,320454545454545;0,498133116883117
"8";"10001018012P7";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,595238095238095;0,673913043478261;0,642857142857143;0,453125;0,591283320393375
"9";"10001018016P2";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";0,490196078431373;0,481481481481481;0,615740740740741;0,451315789473684;0,50968352253182
"10";"10001018017P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,711111111111111;0,672727272727273;0,560164835164835;0,436858974358974;0,595215548340548
"11";"11001011004P7";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,411764705882353;0,205882352941176;0,386363636363636;0,451388888888889;0,363849896019014
"12";"11001011006P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,733333333333333;0,85;0,583333333333333;0,430952380952381;0,649404761904762
"13";"11001011070P0";"MEDICINA II";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,698412698412698;0,3875;0,994318181818182;0,425;0,62630772005772
"14";"12001015001P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";0,431372549019608;0,27536231884058;0,518939393939394;0,426136363636364;0,412952656358986
"15";"12001015002P7";"QUÍMICA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";0,25;0,174603174603175;0,479110105580694;0,416666666666667;0,330094986712634
"16";"12001015003P3";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";0,422222222222222;0,3125;0,45093201754386;0,571296296296296;0,439237634015595
"17";"12001015006P2";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"3";0,444444444444444;0,578947368421053;0,479166666666667;0,465277777777778;0,491959064327485
"18";"12001015007P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";0,777777777777778;0,519230769230769;0,528108465608466;0,529464285714286;0,588645324582824
"19";"12001015008P5";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";0,4;0,575757575757576;0,575980392156863;0,438095238095238;0,497458301502419
"20";"12001015012P2";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";0,346153846153846;0,285714285714286;0,529106029106029;0,394230769230769;0,388801232551233
"21";"12001015013P9";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";0,567901234567901;0,326315789473684;0,498851706036745;0,427380952380952;0,455112420614821
"22";"12001015014P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"3";0,58974358974359;0,35;0,520087731513717;0,489316239316239;0,487286890143386
"23";"12001015015P1";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";0,25;0,558823529411765;0,557575757575758;0,5890625;0,488865446746881
"24";"12001015016P8";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";0,583333333333333;0,627906976744186;0,485745614035088;0,485087719298246;0,545518410852713
"25";"12001015018P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";0,722222222222222;0,447368421052632;0,666666666666667;0,563541666666667;0,599949744152047
"26";"12001015021P1";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";0,333333333333333;0,576271186440678;0,439153439153439;0,292708333333333;0,410366573065196
"27";"12001015022P8";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,625;0,472727272727273;0,444444444444444;0,378787878787879;0,480239898989899
"28";"12001015023P4";"HISTÓRIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,3125;0,3;0,536904761904762;0,462083333333333;0,402872023809524
"29";"12001015024P0";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,452380952380952;0,459459459459459;0,587339743589744;0,447685185185185;0,486716335153835
"30";"12001015025P7";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,511111111111111;0,421052631578947;0,681372549019608;0,506349206349206;0,529971374514718
"31";"12001015026P3";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";0,333333333333333;0,38961038961039;0,531746031746032;0,441228070175439;0,423979456216298
"32";"12001015027P0";"SERVIÇO SOCIAL";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,538461538461538;0,71875;0,446924603174603;0,638690476190476;0,585706654456654
"33";"12001015029P2";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";0,479166666666667;0,5;0,66;0,508333333333333;0,536875
"34";"12001015032P3";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";0,729166666666667;0,756756756756757;0,526190476190476;0,561904761904762;0,643504665379665
"35";"12001015033P0";"FARMÁCIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,729166666666667;0,578947368421053;0,5;0,465196078431373;0,568327528379773
"36";"12001015034P6";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";0,62962962962963;0,409090909090909;0,498550724637681;0,510353535353535;0,511906199677939
"37";"12001015035P2";"MATERIAIS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,607843137254902;0,590361445783133;0,493055555555556;0,413157894736842;0,526104508332608
"38";"12001015036P9";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,388888888888889;0,491525423728814;0,573717948717949;0,396666666666667;0,462699732000579
"39";"12001015037P5";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,416666666666667;0,381818181818182;1;0,467283950617284;0,566442199775533
"40";"12001015039P8";"MEDICINA II";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,805555555555555;0,692307692307692;0,983333333333333;0,620833333333333;0,775507478632479
"41";"12001015040P6";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,523809523809524;0,78125;0,495833333333333;0,403070175438596;0,550990758145363
"42";"12001015041P2";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,619047619047619;0,806451612903226;0,546328671328671;0,500333333333333;0,618040309153212
"43";"12001015042P9";"ENSINO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";0,722222222222222;0,553571428571429;1;0,485984848484848;0,690444624819625
"44";"12001015064P2";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,666666666666667;0,648648648648649;1;0,538157894736842;0,713368302513039
"45";"12001015066P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,568627450980392;0,475;0,722222222222222;0,388636363636364;0,538621509209744
"46";"12008010001P9";"MEDICINA II";"ESTADUAL";"PÚBLICA";2002;"ACADÊMICO";"5";0,48;0,358974358974359;0,538715487112276;0,494761904761905;0,468112937712135
"47";"12008010002P5";"DIREITO";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";0,5;0,392156862745098;0,975;0,425;0,573039215686274
"48";"12008010003P1";"BIOTECNOLOGIA";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";0,644444444444444;0,575;0,55;0,411111111111111;0,545138888888889
"49";"12008010005P4";"ENSINO";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"4";0,766666666666667;0,433962264150943;0,833333333333333;0,48452380952381;0,629621518418688
"50";"12008010007P7";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";0,738095238095238;0,58695652173913;0,659090909090909;0,487916666666667;0,618014833897986
"51";"12008010008P3";"MEDICINA II";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,622222222222222;0,76;0,490675990675991;0,463235294117647;0,584033376753965
"52";"12008010039P6";"LETRAS / LINGUÍSTICA";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,555555555555555;0,526315789473684;0,653125;0,424019607843137;0,539753988218094
