"";"CD_PROGRAMA_IES";"Count";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"Prof_Perm";"Soma_patentes";"Soma_produtos";"Soma_Aplicativos";"Forma_docente";"Forma_discente";"Colabora_cientifica";"CP";"Indice_MI";"Patente_prof";"Produto_prof";"App_prof";"Indice_PT";"new_indice_PT"
"1";"10001018002P1";1;3;0;2001;0;3;15;0;0;0;533333333;275862069;450100761;615740741;468759226;0;0;0;0;702,066666666667
"2";"10001018004P4";2;3;0;1999;0;4;15;1;1;0;822222222;609756098;475490196;524652778;608030323;66666667;66666667;0;44444444;702,066666666667
"3";"10001018005P0";3;3;0;2006;0;4;15;0;0;0;333333333;547619048;544642857;500980392;481643908;0;0;0;0;702,066666666667
"4";"10001018006P7";4;3;0;2006;0;4;9;0;3;0;666666667;458333333;805555556;43525641;591452991;0;333333333;0;111111111;1170,11111111111
"5";"10001018009P6";5;3;0;2009;0;3;10;0;2;0;433333333;403846154;553571429;425555556;454076618;0;2;0;66666667;1053,1
"6";"10001018010P4";6;3;0;2010;0;3;15;0;0;0;466666667;424657534;6;44047619;482950098;0;0;0;0;702,066666666667
"7";"10001018011P0";7;3;0;2010;0;3;11;0;0;0;636363636;396825397;638888889;320454545;498133117;0;0;0;0;957,363636363636
"8";"10001018012P7";8;3;0;2011;0;3;14;0;0;0;595238095;673913043;642857143;453125;59128332;0;0;0;0;752,214285714286
"9";"10001018016P2";9;3;0;2014;1;3;17;0;0;0;490196078;481481481;615740741;451315789;509683523;0;0;0;0;619,470588235294
"10";"10001018017P9";10;3;0;2013;0;3;15;4;3;1;711111111;672727273;560164835;436858974;595215548;266666667;2;66666667;177777778;702,066666666667
"11";"11001011004P7";11;3;0;2006;0;3;17;0;0;0;411764706;205882353;386363636;451388889;363849896;0;0;0;0;619,470588235294
"12";"11001011006P0";12;3;0;2011;0;3;15;0;0;0;733333333;85;583333333;430952381;649404762;0;0;0;0;702,066666666667
"13";"11001011070P0";13;3;0;2016;0;3;21;0;0;0;698412698;3875;994318182;425;62630772;0;0;0;0;501,47619047619
"14";"12001015001P0";14;3;0;1987;0;4;17;0;1;0;431372549;275362319;518939394;426136364;412952656;0;58823529;0;19607843;619,470588235294
"15";"12001015002P7";15;3;0;1987;0;4;28;10;1;0;25;174603175;479110106;416666667;330094987;357142857;35714286;0;130952381;376,107142857143
"16";"12001015003P3";16;3;0;1995;0;4;15;1;0;0;422222222;3125;450932018;571296296;439237634;66666667;0;0;22222222;702,066666666667
"17";"12001015006P2";17;3;0;1999;0;3;12;0;0;0;444444444;578947368;479166667;465277778;491959064;0;0;0;0;877,583333333333
"18";"12001015007P9";18;3;0;2000;0;4;21;0;0;0;777777778;519230769;528108466;529464286;588645325;0;0;0;0;501,47619047619
"19";"12001015008P5";19;3;0;2000;0;3;10;0;0;0;4;575757576;575980392;438095238;497458302;0;0;0;0;1053,1
"20";"12001015012P2";20;3;0;2001;0;5;26;0;1;21;346153846;285714286;529106029;394230769;388801233;0;38461538;807692308;282051282;405,038461538462
"21";"12001015013P9";21;3;0;2001;0;4;27;12;2;0;567901235;326315789;498851706;427380952;455112421;444444444;74074074;0;172839506;390,037037037037
"22";"12001015014P5";22;3;0;1998;0;3;26;0;0;0;58974359;35;520087732;489316239;48728689;0;0;0;0;405,038461538462
"23";"12001015015P1";23;3;0;1998;0;4;24;0;0;0;25;558823529;557575758;5890625;488865447;0;0;0;0;438,791666666667
"24";"12001015016P8";24;3;0;2003;0;3;16;10;9;0;583333333;627906977;485745614;485087719;545518411;625;5625;0;395833333;658,1875
"25";"12001015018P0";25;3;0;2005;0;3;12;0;0;0;722222222;447368421;666666667;563541667;599949744;0;0;0;0;877,583333333333
"26";"12001015021P1";26;3;0;2005;0;3;9;0;2;7;333333333;576271186;439153439;292708333;410366573;0;222222222;777777778;333333333;1170,11111111111
"27";"12001015022P8";27;3;0;2006;0;3;8;0;0;0;625;472727273;444444444;378787879;480239899;0;0;0;0;1316,375
"28";"12001015023P4";28;3;0;2006;0;3;16;0;0;0;3125;3;536904762;462083333;402872024;0;0;0;0;658,1875
"29";"12001015024P0";29;3;0;2007;0;3;14;0;0;0;452380952;459459459;587339744;447685185;486716335;0;0;0;0;752,214285714286
"30";"12001015025P7";30;3;0;2007;0;3;15;0;0;0;511111111;421052632;681372549;506349206;529971375;0;0;0;0;702,066666666667
"31";"12001015026P3";31;3;0;2007;0;4;19;0;0;0;333333333;38961039;531746032;44122807;423979456;0;0;0;0;554,263157894737
"32";"12001015027P0";32;3;0;2007;0;3;13;0;0;0;538461538;71875;446924603;638690476;585706654;0;0;0;0;810,076923076923
"33";"12001015029P2";33;3;0;2008;0;4;16;0;0;0;479166667;5;66;508333333;536875;0;0;0;0;658,1875
"34";"12001015032P3";34;3;0;2008;0;3;16;0;0;0;729166667;756756757;526190476;561904762;643504665;0;0;0;0;658,1875
"35";"12001015033P0";35;3;0;2009;0;3;16;7;1;0;729166667;578947368;5;465196078;568327528;4375;625;0;166666667;658,1875
"36";"12001015034P6";36;3;0;2009;0;4;27;1;2;0;62962963;409090909;498550725;510353535;5119062;37037037;74074074;0;37037037;390,037037037037
"37";"12001015035P2";37;3;0;2009;0;3;17;0;0;0;607843137;590361446;493055556;413157895;526104508;0;0;0;0;619,470588235294
"38";"12001015036P9";38;3;0;2009;0;3;12;0;0;0;388888889;491525424;573717949;396666667;462699732;0;0;0;0;877,583333333333
"39";"12001015037P5";39;3;0;2010;0;3;24;0;0;0;416666667;381818182;1;467283951;5664422;0;0;0;0;438,791666666667
"40";"12001015039P8";40;3;0;2013;0;3;12;0;0;0;805555556;692307692;983333333;620833333;775507479;0;0;0;0;877,583333333333
"41";"12001015040P6";41;3;0;2012;0;3;14;0;0;0;523809524;78125;495833333;403070175;550990758;0;0;0;0;752,214285714286
"42";"12001015041P2";42;3;0;2012;0;3;21;0;0;0;619047619;806451613;546328671;500333333;618040309;0;0;0;0;501,47619047619
"43";"12001015042P9";43;3;0;2014;0;3;18;0;1;0;722222222;553571429;1;485984848;690444625;0;55555556;0;18518519;585,055555555556
"44";"12001015064P2";44;3;0;2015;0;3;19;0;0;0;666666667;648648649;1;538157895;713368303;0;0;0;0;554,263157894737
"45";"12001015066P5";45;3;0;2016;0;3;17;0;0;0;568627451;475;722222222;388636364;538621509;0;0;0;0;619,470588235294
"46";"12008010001P9";46;2;0;2002;0;5;25;0;0;0;48;358974359;538715487;494761905;468112938;0;0;0;0;421,24
"47";"12008010002P5";47;2;0;2003;0;3;12;0;0;0;5;392156863;975;425;573039216;0;0;0;0;877,583333333333
"48";"12008010003P1";48;2;0;2003;0;3;15;4;0;1;644444444;575;55;411111111;545138889;266666667;0;66666667;111111111;702,066666666667
"49";"12008010005P4";49;2;0;2011;0;4;10;0;0;0;766666667;433962264;833333333;48452381;629621518;0;0;0;0;1053,1
"50";"12008010007P7";50;2;0;2012;1;3;14;0;0;0;738095238;586956522;659090909;487916667;618014834;0;0;0;0;752,214285714286
