"";"CD_PROGRAMA_IES";"X1";"Count";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"Prof_Perm";"Soma_patentes";"Soma_produtos";"Soma_Aplicativos";"Forma_docente";"Forma_discente";"Colabora_cientifica";"CP";"Indice_MI";"Patente_prof";"Produto_prof";"App_prof";"Indice_PT";"new_indice_PT";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_MUNICIPIO_PROGRAMA_IES";"NM_AREA_CONHECIMENTO"
"1";"10001018002P1";1;1;3;0;2001;0;3;15;0;0;0;533333333;275862069;450100761;615740741;468759226;0;0;0;0;0;"NORTE";"RO";"UNIR";"PORTO VELHO";"PARASITOLOGIA"
"2";"10001018004P4";2;2;3;0;1999;0;4;15;1;1;0;822222222;609756098;475490196;524652778;608030323;66666667;66666667;0;44444444;0,133333333333333;"NORTE";"RO";"UNIR";"PORTO VELHO";"INTERDISCIPLINAR"
"3";"10001018005P0";3;3;3;0;2006;0;4;15;0;0;0;333333333;547619048;544642857;500980392;481643908;0;0;0;0;0;"NORTE";"RO";"UNIR";"PORTO VELHO";"GEOGRAFIA"
"4";"10001018006P7";4;4;3;0;2006;0;4;9;0;3;0;666666667;458333333;805555556;43525641;591452991;0;333333333;0;111111111;0,333333333333333;"NORTE";"RO";"UNIR";"PORTO VELHO";"ADMINISTRA<c7><c3>O"
"5";"10001018009P6";5;5;3;0;2009;0;3;10;0;2;0;433333333;403846154;553571429;425555556;454076618;0;2;0;66666667;0,2;"NORTE";"RO";"UNIR";"PORTO VELHO";"PSICOLOGIA"
"6";"10001018010P4";6;6;3;0;2010;0;3;15;0;0;0;466666667;424657534;6;44047619;482950098;0;0;0;0;0;"NORTE";"RO";"UNIR";"PORTO VELHO";"LETRAS"
"7";"10001018011P0";7;7;3;0;2010;0;3;11;0;0;0;636363636;396825397;638888889;320454545;498133117;0;0;0;0;0;"NORTE";"RO";"UNIR";"PORTO VELHO";"EDUCA<c7><c3>O"
"8";"10001018012P7";8;8;3;0;2011;0;3;14;0;0;0;595238095;673913043;642857143;453125;59128332;0;0;0;0;0;"NORTE";"RO";"UNIR";"PORTO VELHO";"LETRAS"
"9";"10001018016P2";9;9;3;0;2014;1;3;17;0;0;0;490196078;481481481;615740741;451315789;509683523;0;0;0;0;0;"NORTE";"RO";"UNIR";"PORTO VELHO";"EDUCA<c7><c3>O"
"10";"10001018017P9";10;10;3;0;2013;0;3;15;4;3;1;711111111;672727273;560164835;436858974;595215548;266666667;2;66666667;177777778;0,533333333333333;"NORTE";"RO";"UNIR";"ROLIM DE MOURA";"CI<ca>NCIAS AMBIENTAIS"
"11";"11001011004P7";11;11;3;0;2006;0;3;17;0;0;0;411764706;205882353;386363636;451388889;363849896;0;0;0;0;0;"NORTE";"AC";"UFAC";"RIO BRANCO";"AGRONOMIA"
"12";"11001011006P0";12;12;3;0;2011;0;3;15;0;0;0;733333333;85;583333333;430952381;649404762;0;0;0;0;0;"NORTE";"AC";"UFAC";"RIO BRANCO";"INTERDISCIPLINAR"
"13";"11001011070P0";13;13;3;0;2016;0;3;21;0;0;0;698412698;3875;994318182;425;62630772;0;0;0;0;0;"NORTE";"AC";"UFAC";"RIO BRANCO";"MEDICINA"
"14";"12001015001P0";14;14;3;0;1987;0;4;17;0;1;0;431372549;275362319;518939394;426136364;412952656;0;58823529;0;19607843;0,0588235294117647;"NORTE";"AM";"UFAM";"MANAUS";"EDUCA<c7><c3>O"
